*Au+ Q  % XX344LF006.TextGrid
*anditshatanga nt-\S_hat_>aNg  % XX077LM018.TextGrid
*anditshatanga t-\S_hat_>aN  % XX245CF018.TextGrid
*anditshatanga nt-\S_hat_>aNga  % XX025LF018.TextGrid
*anditshatanga t_>aNga  % XX350LM018.TextGrid
*ane+ ane  % XX161CF014.TextGrid
*ane+ anE  % XX100LM126.TextGrid
*anemashu+ anEmaSu  % XX038LF031.TextGrid
*anes+ an@s  % XX032LF014.TextGrid
*anesh+ anES  % XX038LF031.TextGrid
*anesi+ anesi  % XX161CF014.TextGrid
*anesibhozo anesb_0OzO  % XX111LF005.TextGrid XX222LM005.TextGrid
*anesibini anesb_<ini  % XX341LF005.TextGrid XX351LM014.TextGrid
*anesihlanu anesKanu  % XX072LF005.TextGrid XX172LM005.TextGrid XX339CM015.TextGrid
*anesihlanu anEsKanu  % XX117LF014.TextGrid XX359LF014.TextGrid
*anesithandathu anest_handat_hu  % XX080LM014.TextGrid XX280LM005.TextGrid XX328LF014.TextGrid XX377LM005.TextGrid
*anesithandathu anest_handat_h  % XX073LM014.TextGrid XX074LF014.TextGrid XX151CM006.TextGrid
*anesithathu anest_hat_hu  % XX202LM005.TextGrid XX331LF005.TextGrid XX389LF015.TextGrid
*anesithoba anest_hOb_<a  % XX220LF014.TextGrid
*anesixhenxe anesu|\|\_hE|\|\~E  % XX115LF021.TextGrid
*anesixhenxe anes|\|\_hE|\|\~E  % XX350LM014.TextGrid
*ang+ aN  % XX215LF030.TextGrid
*angamanyeka aNgamaJE:k_>a  % XX170LM005.TextGrid
*as+ as  % XX090LM013.TextGrid
*asa+ asa  % XX138CM023.TextGrid
*asi+ asi  % XX039LM005.TextGrid
*asibhozo asb_0OzO  % XX047LM021.TextGrid XX359LF025.TextGrid
*atha+ at_ha  % XX100LM126.TextGrid
*awu+ au  % XX143LM029.TextGrid
*ay+ aj  % XX182LM021.TextGrid
*ayi+ aji  % XX001LF031.TextGrid
*ayich+ aji|\_h  % XX208CF038.TextGrid
*ayichacha+ aji|\_ha|\_ha  % XX162CF021.TextGrid
*ayichap+ aji|\_hap_>  % XX172LM029.TextGrid
*ayiyic+ ajiji|\  % XX183LM021.TextGrid
*ayiyichaphazelanga aji|\_hap_hazElaNga  % XX025LF038.TextGrid XX026LF024.TextGrid
*ayiyichaphazelanga aji|\_hazElaNga  % XX161CF021.TextGrid XX164CF021.TextGrid
*ayiyichaphazelanga aji|\_hap_hulaNga  % XX311CM029.TextGrid
*ayizichaphazela+ ajizi|\_hap_hazEla  % XX182LM021.TextGrid
*ba+ b_<a  % XX152LM030.TextGrid
*babazelise+ b_<ab_<azelisE  % XX180LM021.TextGrid
*bag b@k  % XX077LM012.TextGrid
*bam+ b_<am=  % XX090LM005.TextGrid
*banci+ b_<a|\~i:  % XX349LM030.TextGrid
*bawageze+ b_<awagEzE  % XX180LM021.TextGrid
*be+ b_<E  % XX130LF032.TextGrid
*bee+ b_<E:  % XX041LF024.TextGrid
*bendingathan+ b_<endiNgat_han  % XX259LM027.TextGrid
*bendle+ b_<End-\K\E  % XX208CF038.TextGrid
*bene+ b_<EnE  % XX220LF137.TextGrid
*bhi+ b_0i  % XX136LF004.TextGrid
*bhizana b_0izana  % XX172LM031.TextGrid
*bhukhingi b_0uk_hiNg  % XX270LF023.TextGrid
*bhukhingi b_0uk_>iNgi  % XX023LF031.TextGrid
*bhuti;elilandelayo b_0ut_>elilandEla  % XX282LF021.TextGrid
*bukisha b_<uk_>iSa  % XX167CF036.TextGrid
*camp k{mpu  % XX328LF012.TextGrid
*cen+ sEn  % XX344LF025.TextGrid
*college kQrid-\zh  % XX206LF010.TextGrid
*com+ kQm  % XX210LM025.TextGrid
*darek+ d_0are?  % XX294LM028.TextGrid
*dou+ da  % XX331LF023.TextGrid
*doub+ dab  % XX173LM020.TextGrid
*double dabl  % XX162CF026.TextGrid
*e+ E  % XX000LF010.TextGrid XX025LF011.TextGrid XX067LF026.TextGrid XX095LF003.TextGrid XX098LF016.TextGrid XX098LF018.TextGrid XX100LM012.TextGrid XX108LM012.TextGrid XX116LF038.TextGrid XX184LM032.TextGrid XX193LM019.TextGrid XX243LF013.TextGrid XX243LF032.TextGrid XX318LM013.TextGrid XX334CM015.TextGrid XX336CM012.TextGrid
*e+ e  % XX184LM032.TextGrid XX269LF023.TextGrid
*e+ @  % XX162CF014.TextGrid
*eMthatha Emt_hat_h  % XX263LM012.TextGrid
*eMthethuvumile Emt_hEt_huvumil  % XX077CM010.TextGrid
*eNgqeleni E!\_v~Elen  % XX348LM010.TextGrid
*eNzu+ end-\zu  % XX209CF013.TextGrid
*eSole+ EsOlE  % XX360LF012.TextGrid
*eZiphunzana ezip_hund-\zanE  % XX301LF012.TextGrid
*ebhlurh+ eb_<lux  % XX067LF026.TextGrid
*ebru+ Ebr  % XX184LM032.TextGrid
*ebukhali eb_<k_hali  % XX258LM036.TextGrid
*ed+ Ed  % XX238LM022.TextGrid
*ed+ Et  % XX065LF028.TextGrid
*edayimane EdajmanE  % XX026LF037.TextGrid
*egaraji Egarad-\Z  % XX330LF029.TextGrid
*eholideyini h\Oldejin  % XX065LF028.TextGrid
*eholideyini Eh\oldEjin  % XX384LM036.TextGrid
*ehotele Eh\Ot_>El  % XX101LF027.TextGrid XX304LF028.TextGrid
*eigh+ e-\I  % XX147CF035.TextGrid
*eight+ e-\It  % XX123CF026.TextGrid
*ek+ Ek_>  % XX359LF012.TextGrid
*eka Ek_ha  % XX143LM027.TextGrid
*ekhatywa+ Ek_hac_>wa  % XX025LF024.TextGrid
*ekoneni Ek_>Onen  % XX255LM036.TextGrid
*ekugqibeleni ek_>u!\_vib_<Elen  % XX318LM036.TextGrid
*ekugqibeleni ek_>u!\_vib_<ElEn  % XX319CF036.TextGrid
*ekuseni ek_>sen  % XX179LM026.TextGrid
*ekuseni ek_>seni  % XX222LM015.TextGrid
*ekuthiwa jak_>t_hwa  % XX138CM011.TextGrid
*ekuthiwa t_hwa  % XX377LM111.TextGrid
*ekwi+ ek_>wi  % XX056CF011.TextGrid
*el+ El  % XX179LM026.TextGrid
*elandelayo ElandlajO  % XX108LM022.TextGrid
*eleven lEvEn  % XX077LM038.TextGrid XX094LF007.TextGrid XX145LM006.TextGrid XX145LM007.TextGrid XX179LM022.TextGrid XX191LM001.TextGrid
*eli+ eli  % XX098LF015.TextGrid
*elicha+ eli|\_ha  % XX193LM021.TextGrid XX212LF028.TextGrid
*elichaza elik_haza  % XX202LF032.TextGrid
*elichaza eli|\_hanza  % XX077LM033.TextGrid
*elichaza el|\_haza  % XX173LM033.TextGrid
*elichaza El|\_haza  % XX179LM026.TextGrid
*elifunek+ elifunEk_>  % XX116LM033.TextGrid
*elina+ elna  % XX388LF015.TextGrid
*elinambini elnambinE  % XX096LM027.TextGrid
*elinane alinanE  % XX091LM020.TextGrid
*elinantlan+ elinant-\K_>an  % XX211LM037.TextGrid
*elinantlanu elnant-\K_>anu  % XX050CF027.TextGrid
*elinanye elnaJE  % XX146LM020.TextGrid
*elinanye elinan  % XX318LM025.TextGrid
*eline+ elinE  % XX050CF027.TextGrid XX069LF014.TextGrid XX091LM020.TextGrid
*elinen+ elinEn  % XX269LF021.TextGrid
*elinesibini elnesib_<ini  % XX245CF006.TextGrid
*elinesine elisnesinE  % XX117LF005.TextGrid
*elinesithandathu elinest_handat_hu  % XX243LF025.TextGrid
*elinesithathu elnest_hat_hu  % XX151CM006.TextGrid
*elinesithathu elinEst_hat_hu  % XX319CF014.TextGrid
*elinesithoba elnest_hOb_<a  % XX222LM006.TextGrid
*elinesithoba elinEt_hO:b_<a  % XX065LF014.TextGrid
*elinethoba elnEt_hOb_<a  % XX387LF015.TextGrid
*elip+ elip_>  % XX000LF035.TextGrid XX193LM020.TextGrid
*elipeliw+ elip_>eliw  % XX312LM027.TextGrid
*elipelwayo elip_hElElEjO  % XX075CM030.TextGrid XX075CM034.TextGrid XX270LF026.TextGrid
*elipelwayo elp_>Elwaj  % XX093LF036.TextGrid XX094LF021.TextGrid
*elipelwayo elp_>eliwEj  % XX179LM021.TextGrid
*elipelwayo p_>ElwajO  % XX131LM033.TextGrid
*elipelwayo elp_>ElwajO  % XX096LM023.TextGrid
*elipelwayo elip_hElEjO  % XX097LM022.TextGrid
*eliphe+ elip_hE  % XX094LF021.TextGrid XX096LM023.TextGrid XX156CF027.TextGrid XX191LM001.TextGrid
*eliphel+ elip_hEl  % XX000LF035.TextGrid XX191LM020.TextGrid XX193LM020.TextGrid
*eliphele+ elip_hElE  % XX191LM001.TextGrid
*elipheley+ elip_hElEj  % XX000LF129.TextGrid
*eliphelwa+ Elp_hElwa  % XX193LM026.TextGrid
*eliqh+ eli!\_h  % XX218LF023.TextGrid
*elixha+ eli|\|\_ha  % XX218LF031.TextGrid
*elnes0tha+ elnes0t_ha  % XX218LF014.TextGrid
*elphelelway+ elp_hElElwaj  % XX191LM001.TextGrid
*em+ Em  % XX087LM012.TextGrid XX089LF011.TextGrid
*ema+ Ema  % XX344LF020.TextGrid
*ema+ Ema:  % XX056CF028.TextGrid
*emaqanda Ema!\and  % XX120LM036.TextGrid
*eminyaka imiJak_>a  % XX134LF005.TextGrid
*en+ En  % XX244LF032.TextGrid XX318LM019.TextGrid
*endandifunda ndandfunda  % XX173LM010.TextGrid
*endiliphumeleleyo endilp_humElElEjO  % XX164CF009.TextGrid
*endiyisebenzisayo endisEb_<ensaj  % XX325LF019.TextGrid
*engceni E|\|\_v~en  % XX075CM029.TextGrid
*enkone+ ENk_>OnE  % XX294LM024.TextGrid
*eno+ EnO  % XX179LM019.TextGrid
*enomnxe+ EnOm|\|\~E  % XX022LF019.TextGrid XX055LF019.TextGrid XX324LF019.TextGrid
*enomnxeba EnEm|\|\~Eb_<a  % XX365LM019.TextGrid
*enyangeni EJaNgen  % XX102CF021.TextGrid
*ephelelwayo Ep_hElElwajO  % XX191LM001.TextGrid
*eqhuba+ e!\_hub_<a  % XX340CF036.TextGrid
*erhu+ exu  % XX269LF023.TextGrid
*es+ Es  % XX000LF113.TextGrid
*eshumi+ eSumi  % XX109CF009.TextGrid
*esi+ esi  % XX056CF028.TextGrid XX076LM035.TextGrid XX360LF012.TextGrid
*esibhe+ Esb_0E  % XX227LF038.TextGrid
*esibhedlele eziK\ElEni  % XX227LF038.TextGrid
*esijongene+ esid-\ZONgEnE  % XX131LM131.TextGrid
*esikolweni esk_>Olwen  % XX377LM013.TextGrid
*esimho-amhokana esimOamOk_>ana  % XX268LM034.TextGrid
*esithandathu est_handat_hu  % XX191LM001.TextGrid
*esofeni EsOfEn  % XX341LF031.TextGrid
*ewe E  % XX050CF019.TextGrid XX116LF016.TextGrid
*ewe EE  % XX143LM016.TextGrid
*ewe E:  % XX184LM016.TextGrid
*eyasendlwini Ejasend-\K\ini  % XX025LF019.TextGrid
*eyokugqibela Ejok_>!\_vib_<Ela  % XX108LM025.TextGrid
*ez0penapen+ ez0p_>Enap_>En  % XX077CM034.TextGrid
*ezay+ Ezaj  % XX245CF024.TextGrid
*ezi+ ezi  % XX102CF032.TextGrid XX131LM133.TextGrid XX182LM021.TextGrid XX184LM032.TextGrid
*ezi0penapeneka ezi0p_>Enap_>Ena  % XX211LM031.TextGrid
*ezibhedle+ ezib_0EK\E  % XX069LF021.TextGrid
*ezibhedlela ezb_0EK\El  % XX075CM037.TextGrid
*eziflethini ezflet_hin  % XX001LF012.TextGrid
*ezijong+ ezid-\zhON  % XX180LM032.TextGrid
*ezine+ ezinE  % XX172LM029.TextGrid
*ezineempe+ ezinE:mp_>E  % XX012LF032.TextGrid
*ezingam+ eziNgam  % XX041LF037.TextGrid
*ezinjong+ eziJd-\ZON  % XX102CF032.TextGrid
*ezintl+ ezint-\K_>  % XX098LF029.TextGrid
*ezip+ ezip_>  % XX014LF032.TextGrid XX397LM037.TextGrid
*ezipena0peneka ezinEp_>Ena0p_>EnEk_>a  % XX172LM029.TextGrid
*ezipenapene+ ezip_>Enap_>EnE  % XX174LM021.TextGrid XX234CM035.TextGrid
*ezipenapene0ka ezip_>Enap_>Ena0k_>a  % XX218LF035.TextGrid
*ezipenapeneka ezip_>Enap_>Ena  % XX102CM032.TextGrid XX116LF028.TextGrid XX151CM034.TextGrid XX162CF021.TextGrid XX164CF021.TextGrid XX179LM032.TextGrid XX182LM021.TextGrid XX197LM025.TextGrid XX215LF030.TextGrid
*ezipenapeneka ezip_>Enap_>Ek_>a  % XX054CF022.TextGrid XX115LF038.TextGrid
*ezipenapeneka ezp_>Enap_>Ena  % XX075CM037.TextGrid
*ezipenapeneka ezip_>anEp_>EnEk_>a  % XX173LM026.TextGrid
*ezipenapeneka ezinEmp_>Eneka  % XX227LF038.TextGrid
*ezipenapeneka ezip_>Enap_>Ega  % XX069LF022.TextGrid
*ezipenapeneka eziNgEnap_>Ena  % XX116LF028.TextGrid
*ezipenapeneka ezip_>EnEp_>EnEk_>a  % XX058CF024.TextGrid
*eziph+ ezip_h  % XX397LM037.TextGrid
*eziphempe+ ezip_hEmp_>E  % XX227LF038.TextGrid
*eziphende+ ezip_hEndE  % XX016LM025.TextGrid
*ezipn+ ezip_>n  % XX397LM037.TextGrid
*eziqung+ ezi!\uN  % XX067LF026.TextGrid
*ezithanda+ ezit_handa  % XX124LM031.TextGrid
*ezla+ ezla  % XX193LM013.TextGrid
*ezpenape+ ezp_>Enap_>E  % XX213LF037.TextGrid
*f+ f  % XX038LF019.TextGrid XX116LM022.TextGrid XX234CM014.TextGrid XX268LM031.TextGrid XX325LF007.TextGrid XX337LF035.TextGrid XX338CM014.TextGrid
*fa+ fa  % XX245CF012.TextGrid
*fi+ fa-\i  % XX021CM030.TextGrid XX183LM037.TextGrid
*fi+ fi  % XX014LF007.TextGrid
*fi+ fa  % XX269LF027.TextGrid
*fumaneka fumanEk_>a  % XX161CF030.TextGrid
*gqu+ !\_vu  % XX098LF031.TextGrid
*gxebe |\|\_v~Eb_<  % XX172LM014.TextGrid
*ha+ h\a  % XX245CF019.TextGrid XX337LF019.TextGrid
*ha+ ha  % XX149LF019.TextGrid
*hayi aji  % XX089LF018.TextGrid XX116LM019.TextGrid XX155CM018.TextGrid
*hayi haj  % XX041LF018.TextGrid XX341LF017.TextGrid
*hayi a-\i  % XX035LF019.TextGrid XX149LF117.TextGrid
*hayibo yab_<O  % XX152LM014.TextGrid
*hla+ Ka  % XX000LF012.TextGrid
*hlanje+ KaJd-\ZE  % XX245CF014.TextGrid
*hokahoka h\Ok_>ah\Ok_>a  % XX162CF021.TextGrid
*hu+ ha  % XX025LF037.TextGrid XX041LF007.TextGrid XX113LF028.TextGrid XX314LF020.TextGrid
*hu+ h\a  % XX336CM032.TextGrid
*hun+ han  % XX115LF035.TextGrid XX338CM020.TextGrid
*hundr+ handr  % XX215LF022.TextGrid
*hundre+ handrE  % XX117LF031.TextGrid
*i+ i  % XX001LF031.TextGrid XX064CF030.TextGrid XX075CM015.TextGrid XX075CM027.TextGrid XX090LM035.TextGrid XX108LM019.TextGrid XX114LM036.TextGrid XX116LM015.TextGrid XX130LF036.TextGrid XX131LM109.TextGrid XX136LF031.TextGrid XX155CM029.TextGrid XX191LM001.TextGrid XX208CF013.TextGrid XX218LF013.TextGrid XX220LF025.TextGrid XX339CM020.TextGrid XX396LM015.TextGrid
*i+ i:  % XX074LF019.TextGrid XX120LF023.TextGrid XX136LF015.TextGrid XX136LF033.TextGrid XX300LM013.TextGrid
*i0bhu+ i0b_0u  % XX006LF024.TextGrid
*i0kh+ i0k_h  % XX100LM121.TextGrid
*iBeckensdal ib{kEstal  % XX132LM028.TextGrid
*iRhaut+ ixaut_>  % XX075CM030.TextGrid
*ibanga b_<aNga  % XX002LF009.TextGrid XX037LF009.TextGrid XX077CM009.TextGrid XX156CF009.TextGrid XX167CF009.TextGrid
*ibanga Nga  % XX119LF009.TextGrid XX319CF009.TextGrid
*ibe+ ib_<E  % XX382LM015.TextGrid
*ibhafu ib_0af  % XX377LM035.TextGrid
*ibhinqa eb_0i!\~a  % XX388LF004.TextGrid
*ibi+ ib_<i  % XX064CF035.TextGrid
*ibin+ ib_<in  % XX212LF037.TextGrid
*ibinza+ ib_<ind-\za  % XX144CF024.TextGrid XX167CF037.TextGrid
*ibinzana b_<ind-\zana  % XX077LM024.TextGrid XX130LF022.TextGrid XX167CF036.TextGrid XX340CF029.TextGrid
*ibinzana ib_<ind-\zan  % XX077CM024.TextGrid XX077CM031.TextGrid
*ibinzana b_<ind-\zan  % XX167CF022.TextGrid XX179LM026.TextGrid
*ibinzana limb_<ind-\zana  % XX077LM036.TextGrid
*ibinzana ib_<izanE  % XX000LF026.TextGrid
*ibuki+ ib_<uk_>i  % XX183LM021.TextGrid
*idarekthri ik_harek_>t_hri  % XX244LF025.TextGrid
*if+ i:f  % XX337LF025.TextGrid
*ifani ifan  % XX162CF002.TextGrid
*ifowuni ifoni  % XX146LM019.TextGrid
*iga+ iga  % XX220LF026.TextGrid
*igama gama  % XX054CF037.TextGrid XX094LF021.TextGrid XX131LM024.TextGrid XX131LM030.TextGrid XX155CM038.TextGrid XX156CF027.TextGrid
*igama;elipelwayo gamelip_>ElwajO  % XX161CF026.TextGrid
*igama;elipewuwa igamulEp_>ewulwaj  % XX161CF026.TextGrid
*ign+ ign  % XX067LF026.TextGrid
*iho+ ih\u  % XX304LF028.TextGrid
*ihotele h\Ot_>El  % XX120LM030.TextGrid
*ii+ i:  % XX211LM031.TextGrid
*iinkonzo i:Nk_>OzO  % XX101LF027.TextGrid
*iintsa+ i:nt-\s_>a  % XX167CF023.TextGrid
*ikhow+ ik_how  % XX218LF013.TextGrid
*ikomiti ik_>omint_>i  % XX100LM125.TextGrid
*ile+ ilE  % XX211LM031.TextGrid
*im+ im  % XX172LM031.TextGrid
*imfonomfono mfOnOmfOnO  % XX038LF019.TextGrid
*imi+ imi  % XX244LF015.TextGrid
*imizuzu mizuzu  % XX091LM015.TextGrid
*in+ in  % XX172LM031.TextGrid
*inamba+ inamba  % XX077LM030.TextGrid
*inambari inambar  % XX054CF023.TextGrid XX054CF031.TextGrid XX054CF033.TextGrid XX075CM028.TextGrid XX077CM028.TextGrid XX077CM030.TextGrid XX079CF023.TextGrid XX162CF026.TextGrid XX191LM001.TextGrid
*inambari nambar  % XX179LM022.TextGrid XX179LM026.TextGrid
*inambari nambara  % XX167CF038.TextGrid XX340CF030.TextGrid
*inambari inambara  % XX167CF024.TextGrid
*inambari nambari  % XX077LM030.TextGrid
*inambari inamba  % XX108LM025.TextGrid
*indawo indawu  % XX311CM031.TextGrid
*indim+ indim  % XX172LM031.TextGrid
*inkcitho iN|\it_hw  % XX102CF032.TextGrid
*ino+ inO  % XX097LM022.TextGrid XX220LF007.TextGrid
*inombolo anOmbOlO  % XX275LM013.TextGrid
*inq+ i!\~  % XX147CF033.TextGrid
*inqaku !\~a  % XX312LM021.TextGrid
*intam+ int_>am  % XX191LM001.TextGrid
*inte+ int_>E  % XX184LM032.TextGrid
*intombi nt_>ombi  % XX077CM029.TextGrid
*intsi+ int-\s_>i  % XX183LM021.TextGrid
*intsimbi nt-\s_>imbi  % XX077LM033.TextGrid
*ipaka ib_0ak_>a  % XX210LM022.TextGrid
*is+ is  % XX191LM001.TextGrid XX193LM022.TextGrid
*isabu+ isab_<u  % XX191LM001.TextGrid
*isambu+ isambu  % XX312LM021.TextGrid
*isambuku sambuk_>u  % XX161CF036.TextGrid XX340CF034.TextGrid
*isambuku mbuk_>u  % XX400CF022.TextGrid
*isambuku k_>u  % XX152LF034.TextGrid
*isele+ isElE  % XX193LM022.TextGrid
*isi+ isi  % XX102CF008.TextGrid XX123CF008.TextGrid XX212LF008.TextGrid XX360LF007.TextGrid
*isiXho+ isi|\|\_hO  % XX311CM022.TextGrid
*isibhozo isb_0OzO  % XX054CF028.TextGrid XX143LM029.TextGrid
*isibhozo sb_0OzO  % XX218LF021.TextGrid
*isibhozo sisb_0OzO  % XX377LM036.TextGrid
*isicwangciso isi|\wa|\_v~isO  % XX131LM131.TextGrid
*isihlanu isKanu  % XX143LM029.TextGrid
*isithandathu ist_handat_hu  % XX054CF028.TextGrid XX143LM029.TextGrid
*isithandathu ist_handat_h  % XX143LM030.TextGrid
*isithathu it_hat_hu  % XX143LM029.TextGrid
*isithathu ist_hat_hu  % XX054CF028.TextGrid
*isitshayina isit-\S_hajna  % XX089LF017.TextGrid XX115LF017.TextGrid XX138CM017.TextGrid
*isitshayina ist-\S_hajna  % XX029LF017.TextGrid XX146LM017.TextGrid XX377LM017.TextGrid
*isitshayina ist-\S_hajin  % XX348LM017.TextGrid
*isivakali+ sivak_>ali  % XX077LM021.TextGrid
*isivakalisi isvak_>alis  % XX179LM021.TextGrid
*isivakalisi svak_>alis  % XX179LM026.TextGrid
*isivakalisi ivak_>alisi  % XX340CF036.TextGrid
*isivakalisi sivak_>alis  % XX191LM001.TextGrid
*isivakalisi k_>alisi  % XX400CF030.TextGrid
*isixhenxe is|\|\_hE|\|\~E  % XX054CF028.TextGrid XX143LM029.TextGrid
*isixhenxe si|\|\_hE|\|\~E  % XX131LM138.TextGrid
*isixhosa is|\|\_hOs  % XX000LM116.TextGrid XX258LM016.TextGrid XX259LM016.TextGrid
*isixhosa isi|\|\_hOs  % XX064CF016.TextGrid XX077CM016.TextGrid XX143LM016.TextGrid
*isixhosa si|\|\_hOsa  % XX130LF008.TextGrid XX341LF008.TextGrid XX397LM008.TextGrid
*isixhosa s|\|\_hOs  % XX179LM021.TextGrid XX312LM016.TextGrid
*isixhosa is|\|\_hOsa  % XX351LM016.TextGrid XX396LM008.TextGrid
*isixhosa |\|\_hOsa  % XX058CF008.TextGrid XX120LM008.TextGrid
*isixhosa isi|\|\_hO  % XX319CF008.TextGrid
*isixhosa si|\|\_hOsO  % XX075CM008.TextGrid
*isixhosa is|\|\Os  % XX103LM008.TextGrid
*isixhosa i|\|\_hOsa  % XX102CM008.TextGrid
*iswe+ iswE  % XX396LM030.TextGrid
